ANZSCO_Code,ANZSCO_Title,ANZSCO_Desc
334115,Roof Plumber,"Installs, maintains and repairs flashings, metallic roof and wall claddings and rainwater products such as gutters and downpipes. Registration or licensing is required."
341113,Lift Mechanic,"Designs, installs, maintains, services and repairs electric and hydraulic passenger and freight lifts, escalators, moving walkways and other lift equipment. Registration or licensing is required."
342311,Business Machine Mechanic,"Installs, maintains and repairs electronic business equipment such as multi-function devices, photocopiers, scanners, fax machines and cash registers."
342312,Communications Operator,Transmits and receives radio messages by use of  voice and radio teletype.
342313,Electronic Equipment Trades Worker,"Installs, maintains and repairs electronic equipment and systems such as audio and visual reproduction equipment, home entertainment systems, computers and electronic security systems."
342314,Electronic Instrument Trades Worker  ,"Installs, modifies, maintains and repairs electronic instruments and control systems. Registration or licensing may be required."
342413,Telecommunications Linesworker,"Installs, maintains and repairs external telecommunication equipment such as aerial lines, conduits and underground cables, radio and mobile phone antennae, and limited items of terminal equipment."
361113,Pet Groomer,"Washes, dries, brushes, combs, cuts and styles pets' coats, clips their nails and cleans their ears."
362212,Arborist,"Maintains and cares for trees and shrubs by lopping limbs and shaping branches, treating trees with fertilisers and insecticides, removing dead or decaying trees, and advising on general tree care."
392111,Print Finisher,"Binds books and other publications, and finishes printed products by hand or machine."
392112,Screen Printer,"Prepares stencils, and sets up and operates power-driven or hand-operated screen print equipment."
393212,Clothing Patternmaker,"Draws sets of master patterns following sketches, sample articles and design specifications, and cuts out patterns for garments."
393213,Dressmaker or Tailor,"Makes, alters and repairs women's and men's tailored garments, formal wear, couturier clothing, and special occasion wear such as suits, dresses, coats, evening wear and bridal wear."
394211,Furniture Finisher,"Applies finishes, such as stain, lacquer, paint, oil and varnish, to furniture, and polishes and waxes finished furniture surfaces."
394213,Wood Machinist,"Cuts, planes, turns, shapes and sands wood stock to specifications."
399212,Gas or Petroleum Operator,"Operates equipment to pump oil and gas from wellheads, and refine and process petroleum products."
399213,Power Generation Plant Operator,"Operates boilers, turbogenerators and associated plant to generate electrical power. Registration or licensing is required."
399311,Gallery or Museum Technician,"Prepares artworks, specimens and artefacts for collections, and arranges and constructs gallery or museum exhibits."
399312,Library Technician,Assists Librarians and other information managers in organising and operating systems for handling recorded material and files.
399511,Broadcast Transmitter Operator,Operates consoles to control radio or television broadcast transmitters.
399512,Camera Operator ,"Sets up and operates cameras to photograph scenes for film, television or video productions."
399514,Make Up Artist,"Designs and applies make up to actors, presenters and other performing artists."
399515,Musical Instrument Maker or Repairer,"Builds, repairs and restores musical instruments, and modifies and tunes them to owners' specifications."
399516,Sound Technician,"Operates audio equipment to record, enhance, mix and amplify sound in support of television, radio, film or video productions, or stage performances."
399911,Diver,"Swims underwater to undertake tasks such as seafood gathering, research, salvage and construction. Registration or licensing may be required."
399913,Optical Dispenser,"Interprets optical prescriptions, and fits and services optical appliances such as spectacle frames and lenses. Registration or licensing may be required."
411211,Dental Hygienist,Carries out preventative dental procedures under the direction of a Dentist. Registration or licensing is required.
411213,Dental Technician,Constructs and repairs dentures and other dental appliances. Registration or licensing may be required.
411214,Dental Therapist,"Examines and treats diseases of the teeth in preschool, primary and secondary school children under the general supervision of a Dentist. Registration or licensing is required."
411411,Enrolled Nurse,"Provides nursing care to patients in a variety of health, aged care, welfare and community settings under the supervision of Registered Nurses. Registration or licensing is required."
411412,Mothercraft Nurse,"Provides care to newborn infants, and provides advice and training on infant care to parents of newborn infants. Registration or licensing is required."
411711,Community Worker,"Facilitates community development initiatives and collective solutions within a community to address issues, needs and problems associated with recreational, health, housing, employment and other welfare matters."
411712,Disabilities Services Officer,"Works in a range of service units which provide education and community access to people with intellectual, physical, social and emotional disabilities."
411713,Family Support Worker,Assists the work of Social Workers and Welfare Workers by providing services and support to families.
411714,Parole or Probation Officer,Supervises offenders who have been placed on probation by court order or released conditionally from corrective service institutions.
411715,Residential Care Officer,Provides care and supervision for children or disabled persons in group housing or institutional care.
411716,Youth Worker,"Assists young people as individuals or groups to solve social, emotional and financial problems in an agency framework."
421111,Child Care Worker,"Provides care and supervision for children in programs, such as long day care and occasional care, in childcare centres, hospitals and educational centres. Registration or licensing may be required."
421113,Nanny,"Assists parents in the provision of ongoing care and supervision for babies and children, usually in the child's home."
422112,Integration Aide,Assists children with developmental disabilities in mainstream schools.
423311,Hospital Orderly,"Assists with the provision of care to patients in a hospital by ensuring wards are neat and tidy, lifting and turning patients and transporting them in wheelchairs or on movable beds, and providing direct care and support."
423312,Nursing Support Worker,Provides limited patient care under the direction of nursing staff.
423313,Personal Care Assistant,Provides routine personal care services to people in a range of health care facilities or in a person's home.
423314,Therapy Aide,"Assists therapists in providing therapy programs and in the direct care of their patients in a variety of health, welfare and community settings. Registration or licensing may be required."
431111,Bar Attendant,"Prepares, mixes and serves alcoholic and non-alcoholic drinks to patrons in a bar in a licensed establishment."
431112,Barista,"Prepares and serves espresso coffee and other hot beverages to patrons in a cafe, coffee shop, restaurant or dining establishment."
431912,Doorperson or Luggage Porter,"Assists guests in an accommodation establishment or passengers in a transport terminal by attending to and carrying luggage, welcoming and escorting guests, and attending to their general needs on arrival and departure."
441211,Emergency Service Worker,Attends the scene of emergencies to minimise risk to community safety and security.
441212,Fire Fighter,"Responds to fire alarms and emergency calls, controls and extinguishes fires, and protects life and property. Registration or licensing is required."
441311,Detective,"Investigates serious crimes, such as terrorism, homicide, armed robbery, vice and arson, and gathers evidence to arrest and prosecute suspected offenders."
441312,Police Officer,"Maintains public order, and enforces laws by investigating crimes, patrolling public areas and arresting suspected offenders."
442214,Private Investigator,Conducts investigations for clients and prepares evidence for court proceedings. Registration or licensing is required.
442215,Retail Loss Prevention Officer,"Detects and investigates shoplifting, fraud and other unlawful acts of employees or customers of a retail establishment. Registration or licensing may be required."
442216,Security Consultant,"Advises clients on security requirements, and recommends and designs security specifications. Registration or licensing may be required."
442217,Security Officer,"Patrols and guards industrial and commercial property, railway yards, stations and other facilities. Registration or licensing may be required."
451612,Travel Consultant,"Plans travel, accommodation and associated arrangements for clients and makes travel bookings. May work in a call centre."
452322,Sports Umpire,"Officiates at sporting events, such as netball, hockey, football, basketball, cricket, boxing and wrestling matches, by interpreting and enforcing match rules. Registration or licensing is required."
452414,Lifeguard,"Looks after the safety of people at beaches or swimming pools through accident prevention and rescue, and educating the public on water safety. This occupation requires high levels of physical fitness, sporting ability and personal commitment as well as, or in place of, formal qualifications or experience. Registration or licensing is required."
511111,Contract Administrator,"Prepares, interprets, maintains, reviews and negotiates variations to contracts on behalf of an organisation."
511112,Program or Project Administrator,"Plans and undertakes administration of organisational programs, special projects and support services."
512211,Health Practice Manager,Organises and controls the functions and resources of a health practice such as administrative systems and practice personnel.
521211,Secretary  ,"Performs secretarial, clerical and other administrative tasks in support of Managers and Professionals."
521212,Legal Secretary,"Performs secretarial, clerical and other administrative tasks in support of Legal Professionals applying knowledge of legal terminology, procedures and documents."
532111,Data Entry Operator,"Operates a keyboard to input and transfer data into a computer for storage, processing and transmission."
532113,Word Processing Operator,"Operates a computer to type, edit and generate a variety of documents and reports."
541111,Call or Contact Centre Team Leader,"Oversees and determines work requirements, monitors telephone calls, coaches and allocates duties to Call or Contact Centre Operators."
541112,Call or Contact Centre Operator,"Answers customer telephone, Internet and email inquiries about goods and services, and promotes the goods and services."
542111,Receptionist  ,"Greets clients and visitors, and responds to personal, telephone, email and written inquiries and requests."
542112,Admissions Clerk,Records and processes information required for the admission and discharge of hospital patients and responds to telephone inquiries.
542113,Hotel or Motel Receptionist,"Greets and checks in guests, and looks after their needs on arrival and during their stay in a hotel or motel."
542114,Medical Receptionist,"Greets patients and other clients in a health facility, such as a clinic, practice, centre or surgery, and responds to personal, telephone and written inquiries and requests."
551111,Accounts Clerk,"Monitors creditor and debtor accounts, and undertakes related routine documentation. May work in a call centre."
551112,Cost Clerk,"Calculates and investigates the cost of wages, materials, overheads and other operating expenses."
552312,Insurance Consultant,Prepares and checks documentation associated with insurance. May work in a call centre.
552314,Statistical Clerk,Compiles data and undertakes statistical and actuarial computations.
561211,Courier,"Delivers goods, documents, messages, samples, x-rays and test results."
561212,Postal Delivery Officer,"Delivers mail on foot, by bicycle or by motorised transport over allocated delivery rounds."
561411,Mail Clerk,"Collects, sorts and despatches mail within an organisation."
561912,Meter Reader,"Reads electric, gas or water meters, records usage, inspects meters and connections for defects and damage, and reports irregularities."
561913,Parking Inspector,Patrols assigned areas and issues parking infringement notices to owners of vehicles that are illegally parked.
591112,Production Clerk,"Records and coordinates the flow of work and materials between departments, examines orders for goods, and prepares production schedules."
591113,Purchasing Officer,"Prepares purchase orders, monitors supply sources and negotiates contracts with suppliers."
591115,Stock Clerk,"Monitors stock levels and maintains stock, order and inventory records."
591116,Warehouse Administrator,Administers and coordinates storage and distribution operations within an organisation.
591117,Order Clerk,Receives and processes incoming orders for goods and services from inside or outside an organisation.
599511,Customs Officer,"Administers and enforces customs and related legislation, and assists with customs control of overseas passengers, crew, aircraft, ships, cargo, mail and bond stores."
599512,Immigration Officer,"Examines and assesses the entry of people from other countries, administers visas and residency applications according to immigration legislation, rules and policies, and, where necessary, uses legal powers to detain and remove illegal entrants."
599516,Taxation Inspector,"Inspects and assesses taxation returns to ensure compliance with government legislation, and investigates suspected breaches of taxation legislation."
599518,Transport Operations Inspector,"Monitors scheduled train, tram and bus services and investigates accidents, complaints and service disruptions."
599913,Proof Reader,"Reads draft copies and proofs, detects errors and marks corrections to grammar, typing and composition."
599914,Radio Despatcher,"Provides radio and communications services for the coordination of operational units in transport, courier, military, emergency, security, rescue and road service organisations. Registration or licensing may be required."
599915,Clinical Coder,"Assigns codes to narrative descriptions of patients' diseases, operations and procedures in accordance with recognised classification systems to allow for easy storage, retrieval and analysis of health data."
599916,Facilities Administrator,"Provides assistance to ensure the day-to-day smooth operation of a building's infrastructure, through administrative support, including budgeting, procurement negotiation, contractor liaison and documentation, as well as coordination of staff and office equipment during relocation, and at times supervision and physical assistance with maintenance tasks."
612112,Property Manager,Supervises the leasing of rental properties on behalf of owners. Registration or licensing may be required.
612114,Real Estate Agent,"Coordinates the activities of real estate representatives in selling and leasing real estate, ensuring compliance with legislative requirements. Registration or licensing is required."
612115,Real Estate Representative,"Arranges the conduct of real estate transactions such as sales and leasing, and assists buyers to find suitable properties, on behalf of an agency. Registration or licensing is required."
621311,Motor Vehicle or Caravan Salesperson,"Sells new and used motor cars, motor cycles, trucks, boats, caravans and earthmoving equipment in a retail or wholesale establishment."
621312,Motor Vehicle Parts Interpreter,Sells motor vehicle accessories and parts in a retail or wholesale establishment.
621911,Materials Recycler,"Salvages materials from industrial, commercial and private establishments for resale."
639111,Model,"Wears and displays clothing and accessories, and poses for photographs, paintings, sculptures and other types of art."
639112,Sales Demonstrator,"Displays and demonstrates goods at commercial premises, exhibitions and private homes."
639211,Retail Buyer,Selects and buys goods for resale in a retail establishment.
711114,Stone Processing Machine Operator,"Operates machines to cut and finish stones for tiles, building blocks and facings."
711912,Motion Picture Projectionist,Operates film projection and related sound reproduction equipment.
711914,Sterilisation Technician,"Cleans, sterilises and packages surgical instruments and other hospital equipment, soft goods and linen in a sterilisation service facility."
712211,Driller,"Assembles, positions and operates a drilling rig and related equipment to extract ore, liquids or gases from the earth. Registration or licensing may be required."
712212,Miner,"Operates plant to excavate, load and transport coal, ore and rock in an underground or open-cut mine. Registration or licensing may be required."
712213,Shot Firer,"Assembles, positions and detonates explosives at a mining or demolition site. Registration or licensing may be required."
712911,Boiler or Engine Operator,"Operates and maintains stationary engines, boilers, refrigeration and airconditioning systems, and associated mechanical plant. Registration or licensing is required."
712912,Bulk Materials Handling Plant Operator,"Operates plant to load, unload, move, store and stack bulk materials such as grain, sugar and mineral ore."
712915,Concrete Pump Operator,"Operates plant to pump, cast and mould concrete. Registration or licensing is required."
712917,Railway Signal Operator,"Controls the movement of trains, and assembles and disassembles trains within a marshalling yard."
712921,Waste Water or Water Plant Operator,"Operates plant to store, distribute and treat water including purifying water for human consumption and removing wastes from sewage."
712922,Weighbridge Operator,Operates weighing plant and issues measurement tickets which provide readings of vehicle and livestock weight.
721111,Agricultural and Horticultural Mobile Plant Operator,"Operates agricultural and horticultural plant to clear and cultivate land, and sow and harvest crops. Registration or licensing may be required."
721211,Earthmoving Plant Operator  ,"Operates a range of earthmoving plant to assist with building roads, rail, water supply, dams, treatment plants and agricultural earthworks. Registration or licensing is required."
721212,Backhoe Operator,"Operates a backhoe and attachments to excavate, break, drill, level and compact earth, rock and other material. Registration or licensing is required."
721213,Bulldozer Operator,"Operates a bulldozer using blades and other attachments to gouge out, level and move materials in construction, forestry, mining and other projects. Registration or licensing is required."
721214,Excavator Operator,"Operates heavy excavation plant equipment to excavate, move and load earth, rock and rubble. Registration or licensing is required."
721215,Grader Operator,Operates a grader to spread and level materials in construction projects. Registration or licensing is required.
721216,Loader Operator,"Operates a motorised loader to move and load soil, rock and other material. Registration or licensing is required."
721913,Paving Plant Operator,"Operates plant to spread and level hot bituminous paving materials and lay concrete on areas such as highways, roads and car parks. Registration or licensing is required."
721915,Road Roller Operator,"Operates a power-driven roller to prepare surfaces for roads, runways and car parks. Registration or licensing is required."
731311,Train Driver,Drives a train to transport passengers and freight on railways. Registration or licensing is required.
821111,Builder's Labourer,Performs routine tasks in erecting and repairing structures and facilities on building and construction sites and in factories producing prefabricated building components.
821411,Building Insulation Installer,"Installs and applies insulating material, such as foam, granules, foil, solar film, batts and blankets, to walls, floors, windows and ceilings of buildings to insulate against heat, cold, air, sound and moisture. Registration or licensing may be required."
821412,Home Improvement Installer,"Installs functional and decorative home improvements such as awnings, curtains, blinds, security screens, garage doors, exterior cladding, shower screens and prefabricated windows and doors. Registration or licensing may be required."
821711,Construction Rigger,"Assembles and installs rigging gear, such as cables, ropes, pulleys and winches, to lift, lower, move and position equipment, structural steel and other heavy objects. Registration or licensing may be required."
821712,Scaffolder,"Erects and dismantles scaffolding to provide work platforms on building and industrial sites, and for temporary structures such as staging and seating. Registration or licensing may be required."
821713,Steel Fixer,Positions and secures steel bars and steel mesh in concrete forms to reinforce concrete structures. Registration or licensing may be required.
821714,Structural Steel Erector,Erects and dismantles structural steel frames of buildings and other structures. Registration or licensing may be required.
821911,Crane Chaser,"Slings cranes and winches, and directs the movement of loads ensuring loads do not exceed lifting capacities."
821912,Driller's Assistant,"Performs routine tasks in setting up, operating and dismantling drilling sites for extracting oil, gas, mineral ore or water."
821913,Lagger,"Applies insulating materials, such as felt, fibreglass, polyurethane and cork, to pipes, steam generators, process vats and ducting, and secures insulation with wire, wire netting, staples, metal strapping and using welding torches."
821914,Mining Support Worker,"Performs routine tasks in mining and mineral ore treating operations such as assembling, operating and dismantling mining equipment, taking ore, rock and dust samples, and mixing ore treating chemicals and catalysts."
831211,Meat Boner and Slicer,"Trims and cuts meat from bones, sides and carcasses."
831212,Slaughterer,"Stuns and kills livestock, and prepares carcasses for further processing by removing internal organs and hides."
839311,Product Examiner,Examines products to ensure conformity to specifications and standards of presentation and quality.
839312,Product Grader,Grades primary produce by evaluating individual items or batches against established standards and records results.
839313,Product Tester,"Collects product samples, conducts tests to determine quality of produce and maintains records of results."
839912,Chemical Plant Worker,"Performs routine tasks in a chemical processing plant such as delivering materials to processing areas, dumping ingredients into hoppers, operating machines to heat, cool and agitate chemical solutions, filling and fastening covers on containers, and attaching labels and information on products."
839918,Recycling Worker,"Performs routine tasks in a recycling facility such as sorting, packing and storing plastics, glass, paper, metals and other recyclable materials which have been collected from household, commercial and industrial premises in preparation for use in creating new products."
841311,Forestry Worker,"Assists with cultivating, maintaining and protecting forests. Registration or licensing may be required."
841312,Logging Assistant,"Assists with logging, felling and sawing of trees in forests."
841313,Tree Faller,"Fells trees in forests, and trims and saws them into logs. Registration or licensing may be required."
841911,Hunter-Trapper,"Hunts, traps and shoots animals for food, pelts, research and for pest control. Registration or licensing may be required."
841913,Pest Controller,"Applies pest management techniques to control invertebrate and insect pests inside and outside domestic, commercial and industrial premises. Registration or licensing is required."
899211,Deck Hand,Performs maintenance and lookout tasks aboard a ship.
899212,Fishing Hand,"Catches fish and other sea creatures using nets, pots, lines and traps in ocean and inland waters."
899412,Autoglazier,Repairs and replaces windscreens and side and rear glass in motor vehicles.
899415,Tyre Fitter,"Fits, repairs and replaces tyres on motor vehicles."
899911,Bicycle Mechanic,"Repairs and adjusts bicycles, and assembles bicycle kits."
899912,Car Park Attendant,"Operates and maintains a car parking facility by guarding cars in parking areas and collecting fees at car park entry or exit points. May drive and park cars, and operate boom gates."
899913,Crossing Supervisor,"Assists children, disabled and other pedestrians to cross roads by stopping traffic and ensuring all pedestrians have crossed safely before allowing traffic to flow through the crossing."
899914,Electrical or Telecommunications Trades Assistant,Assists Electrotechnology and Telecommunications Trades Workers to install and maintain electrical and telecommunications systems.
899915,Leaflet or Newspaper Deliverer,Collects leaflets or newspapers from a collection point and delivers them to homes in a specified area.
899918,Sign Erector,"Erects and installs signs, and cleans signs and their sites after installation."
899921,Ticket Collector or Usher,"Collects tickets or admission passes and ushers patrons to their seats at an entertainment, sporting or recreational venue, prepares the venue before an event and locks up premises afterwards."
899923,Road Traffic Controller,"Manually directs road traffic and pedestrian flows on, near, or adjacent to roads during road closures or part road closures due to construction, maintenance or roadside works; public events; or emergency responses using signs and devices to ensure the safety of workers, motorists and pedestrians."
254412,Registered Nurse (Aged Care),"Provide nursing care to the elderly in community settings, residential aged care facilities, retirement villages and health care facilities. Registration or licensing is required."
254413,Registered Nurse (Child and Family Health),"Provide nursing care to children and their families, with an emphasis on the prevention, early detection of, and early intervention in, physical, emotional and social problems affecting children and their families. Registration or licensing is required."
254414,Registered Nurse (Community Health),"Provide nursing care, health counselling, screening and education to individuals, families and groups in the wider community with a focus on patient independence and health promotion. Registration or licensing is required."
254416,Registered Nurse (Developmental Disability),"Provide nursing care to people with intellectual and development disabilities in a range of health, welfare and community settings. Registration or licensing is required."
254417,Registered Nurse (Disability and Rehabilitation),"Provide nursing care to patients recovering from injury and illness, and assist and facilitate patients with disabilities to live more independently. Registration or licensing is required."
254418,Registered Nurse (Medical),"Provide nursing care to patients with conditions such as infections, metabolic disorders and degenerative conditions, which require medical intervention in a range of health, aged care and community settings. Registration or licensing is required."
254421,Registered Nurse (Medical Practice),"Provide clinical care to patients, undertake clinical organisation and practice administration, and facilitate communication within a general practice environment and between the practice and outside organisations and individuals. Registration or licensing is required."
254423,Registered Nurse (Perioperative),"Provide nursing care to patients before, during and immediately after surgery, assess patients' condition, plan nursing care for surgical intervention, maintain a safe and comfortable environment, assist Surgeons and Anaesthetists during surgery, and monitor patients' recovery from anaesthetic, prior to return to, or discharge from, ward. Registration or licensing is required."
254425,Registered Nurse (Paediatrics),"Provide nursing care to children of all ages, including neonates, across a range of health and community settings with an emphasis on assessing children’s acute and ongoing needs while taking into account physical, social, cultural and family circumstances. Registration or licensing is required."
